-6.41,-21.21
-6.44,-21.21
-6.47,-21.21
-6.51,-21.21
-6.54,-21.21
-6.57,-21.21
-6.61,-21.21
-6.64,-21.21
-6.68,-21.21
-6.71,-21.21
-6.74,-21.21
-6.78,-21.21
-6.81,-21.21
-6.84,-21.21
-6.88,-21.21
-6.91,-21.21
-6.94,-21.21
-6.98,-21.21
-7.01,-21.21
-7.05,-21.21
-7.08,-21.21
-7.11,-21.21
-7.15,-21.21
-7.18,-21.21
-7.21,-21.21
-7.25,-21.21
-7.28,-21.21
-7.31,-21.21
-7.35,-21.21
-7.38,-21.21
-7.42,-21.21
-7.45,-21.21
-7.48,-21.21
-7.52,-21.21
-7.55,-21.21
-7.58,-21.21
-7.62,-21.21
